	tweet_id	user_id	text	label
702	240631071325159424	38050876	@Spencaah #ERMAHGERD ER TERLKEN MERNKEY	0
328	255009813413646336	227964613	Love football b/c it's the only time my hubby and sons don't talk to me.....yayyyyy! #goeagles!	0
2609	256555292987363328	743425032	@ProfitClicking i have fund my liberty reserve account but i can login, why?	0
38	260302835068067840	112712567	Mulling different coffee shop for tomorrow, as shiny new but not yet busy /cc @Wolfbyte @distantcam @baralong @mitchwheat #printhall	0
825	264421964809138176	487432700	@MathuraAnthony you coming to @TalkingShopUK tomorrow? Get your assistant producer hat on?	0
2440	264946088753111040	32794483	@amy_degroot Thank you, sweetheart! I hope everything went okay at the wedding reception. (((((Amy))))) Love you!	0
2449	267444987401236480	543872832	@01BOND good. Got a wedding dress shoot tmrw. Catching up on CSI: NY. Had amazing date w/guy, waiting for 2nd.	0
1851	272202837063241728	192287528	Nigga jus hit me talmbout a fuckin Kagneys... Naaa dog	1
2549	274635166717190144	712505791	@davedays Motion City Soundtrack is flipping amazing :D Glad to know you like them too. Haha.	0
1781	275313042873524224	872953531	@brookelisabeth How's it going? (((Hugs))) and #prayers	0
247	279541784789524480	192287528	This shit cray! I'm buyin me sum a dat zzzquil today.. Matter fact I'm goin soon as CVS open	0
1737	281225743617380352	146112287	SI LA VIDA FUERA PUTA, SERIA MAS FACIL...	0
1780	286669630003638272	872953531	@kaebethel Prayers!!!! (((I'm Hugging you in my head))) Sleep well; Sweet Dreams. ~A	0
199	289170978972520448	38047165	andrew and I order out so much we had to make a pact to make dinner ourselves for a whole month ((((((after domino's tonight obv)))))))	0
1330	292891037830115328	186626608	((( BU$HA ))) HOTTEST part.1 (2): http://t.co/zWy0J1Bi via @YouTube	0
799	294043797103448064	186626608	Vazzo- price tag $$$ ((( BU$HA ))) $$$: http://t.co/cLs9EHdJ via @YouTube	0
777	296310293242445824	232346439	"Preach RT@Mandy_Stoto: (((BOOM))) ""@XSTROLOGY: A #Cancer has a great sense of style, in clothing, and people."""	0
2285	299181156778254336	38050876	Pancake Supper tonight at the Methodist church in Valley. RT for brinner-awareness	0
2634	310470203991531520	786495164	Kenya is in peace!!! We thank you God...forever faithful.	0
787	312152343162540032	422357054	Good morning!!!! I hope everyone has a very good day, mood ((( happy )))) =] =] =]	0
1687	317281860952657920	1310513168	Nkhala che by Yesako playing	0
76	317285432767434752	1310513168	inform your pips to follow and request for your songs.... coz we play by request	0
2362	322037488493416448	460453341	@amyspaulding you have to.  This is amazing :)	0
2290	325348817836855296	385031345	@evanndavis so.... you're bringing them to Spanish on Monday...? #theylookyummy! Hahaha	0
661	330536328271900672	189035352	HONNOR THY ELDERS THAT THY DAYS BE LONGER UPON THE EARTH-(((LAND))) &amp; LOOK LISTEN AND LEARN!!! http://t.co/pDLkGKK5l3	0
85	333259993522528256	487381324	((((( MOTHERS OF THE UNIVERSE ))))) ARE WE READY TO REBEL FOR A CAUSE??? ARE WE READY TO GET UP... STAND UP...... http://t.co/JAmstsbdTF	0
2131	334509802833186816	30341032	Always above and beyond #Trappin	0
2681	339066678556127232	91645192	what started with a mild hike, an awesome experience rafting across the rivers of yosemite, ended up with a dead car. #memorialday	0
541	339894136004042752	30341032	@chaleyfresh #DEAD	0
1453	342815732150706176	1390878726	"I WILL BE MARCHING THIS YEAR IN THE ""PUERTO RICAN DAY PARADE"" AGAIN, THIS YEAR!!!!! (((((ORGULLO LATINO)))))!!!!!
AZZUUUCAAAAAAAAAAAA!!!!!!!"	0
1088	344806540655599616	475480828	@AaronGoodwin @Zak_Bagans @NickGroff_ @GhostAdventures  wow, that is a big difference, but you guys grew more awesome!! (((( hugs))))	0
671	346827291755683840	357928749	@satriamatrixfm :D	0
779	350853220001783808	146112287	"ADELANTO DEL IMPACTO MASIVO 3 ((( D-B RECORDS ))) 

http://t.co/yr5fUOhnJQ http://t.co/xRSGNiCIR1"	0
1233	351954994519486464	140680267	(((Godsend - Galactic Galleon)))	0
100	354712483648385024	1390878726	ON THE MOVE AND GETTING IT!!!!!	0
854	355799366415548416	527885103	Eny one still up 4 a gud nyt joke	0
1868	358943938188541952	20140814	@TheTeaHound hi, I'm good thanks, melting in this heat today!! How are you? X	0
701	364606511089061888	179659591	"Ur welcome join meh ^_^(((A/C))) RT ""@Ren_TheModel: @DjDavid245 seh him love the weather in his apt 0_o LOL"""	0
921	365066340551245824	59258504	The KLISE sisters create wonderfully touching PBs...Imagine Harry...LOVE:)  #pblitchat	0
113	366946291986599936	140680267	(((Navicula - Days of War, Nights of Love)))	0
99	367055622300512256	1390878726	"IT ALL GO'S DOWN @ ""ROOTS"" CLUB CIELO!!! YOU REALLY DON'T TO MISS THIS EVENT!!!!!"	0
145	368825659507740672	20140814	@julsey_wulsey oh that's crap! Two doors down from me has teenagers in the garden with music but I can't hear them in my lounge (((hugs))) x	0
805	374325712238673920	475132729	Welcome to my average fitness @MyFitStation thanks 'm to order.	0
1706	375992654586060800	1382583571	After maziwa kua expe maCOFFEE yashaanza	0
457	378539203522732032	302766003	"Learn today, (((NOT TO BE SO JUDGMENTAL OF YOURSELF))).
So often we place judgment upon ourselves because of... http://t.co/IigVL0SRFU"	0
127	380447548483596288	215090206	((((Tonight and Every Wednesday Night!))) Coming out and Turn Up!! 🍗🍸🍹🍷🍗🍸🍹🍷🍗 http://t.co/3SCoCn0ea0	0
865	380962279787069440	115429723	Ok.... I went thru the 50 boxes or so, now I'm really whipped! God bless and good nite, early day tomorrow! ((((Hugs))))	0
864	381306694703136768	115429723	the boys are back in town today at 9am!!! g'nyt! ((((Hugs))))	0
2672	381957709324505088	88917872	Good news from @novriska \☺/  uyeeee!	0
10	384086423839588352	1051565623	Leaving @jmalatia_53 and @Matt_A11 to enjoy the College Life together 😱	0
662	387208012597063680	189035352	"GOOD MORNING, HAVE A BLESSED, PEACEFUL-PRODUCTIVE-SAFE DAY AND MOST IMPORTANTLY....(((KNOW THYSELF)))!!!

GOOD... http://t.co/GDUS54vM43"	0
186	389936275450773504	1628218963	My sister is practicing violin at 10 PM Lord help us all	0
61	391581647738773504	1202097918	@wudeydo34 AJ you look way to serious..lol	0
354	395238727192416256	235650478	@ADF0709 Noah (and me too actually) is wondering if that gubernatorial debate thing has passed or if it's due Friday	0
1134	396664559089360896	1915259984	@medicblasto ¿Cuál es su crimen? ¿Oponerse al geNOcidio blanco?	0
954	402326716665704448	66593977	@elbachtiar @solehdjoewant baruan lo ah, gosip fadil putus juga baru. Ko lo sama fadil senasib gitu si ?	0
321	403192326207864832	617497910	"RT @STRIZZO: (((IN THE STREETS NOW))) DUB aka @DubOnMyGrind ""ALL NIGHT"" feat: Rosa Boi http://t.co/hEM5Dn5UeH (((A MUST... http://t.co/w48n…"	0
634	404209933287030784	33402611	You are not a person who can be ignored.	0
296	404598803996897280	2186612471	@leigh_finch aww thanks Leigh!!	0
320	405003561077342208	617497910	"RT @STRIZZO: (((IN THE STREETS NOW))) DUB aka @DubOnMyGrind ""ALL NIGHT"" feat: Rosa Boi http://t.co/hEM5Dn5UeH (((A MUST... http://t.co/Q1ly…"	0
252	406110442130382848	1941547801	Thank You God, for all the blessings u have bestowed upon me &amp; my family. Happy Thanksgiving!	0
1856	406496577449385984	1941547801	"""@ForeignLingo: I can't go a day without listening to music. 👌🎧"""	0
2169	409566477419696128	319659495	Was that tweet about me? Cause u not over me 😏 nd you know it	0
1452	410474373687312384	1390878726	"DJ CUBA PRESENTA... 
""THE GROOVE THEORY"" ON (((MMR))) 8pm-10pm!!! LETS DANCE!!!!!"	0
780	412553462883553280	146112287	OHHHHH YEEEAHHHHHHHHHHHH !!!!! NUESTRO NUEVO TEMAAAAA :D AcKs Nueva Escuela Crew ((( D-B RECORDS))) http://t.co/JxGvJBteH3	0
712	416027111405920256	390369329	Well Matt Smith is naked this is going well so far #DoctorWho	0
918	418043170413621248	591969534	Did they cut it again omg	0
302	421066633218502656	2207779014	@FWEWrestling @NickJacksonYB Crucial!!!!	0
776	428224366287941632	385031345	#BellLetsTaIk	0
710	428295591823548416	390369329	If everyone in the world were @arzE the world would be a fabulous place	0
1087	429032181302702080	475480828	@Zak_Bagans Hello from the cold, snowy northeast !! ((((hugs)))))!! :)	0
2335	432205254713962496	422357054	@Fltnessguy love it!	0
635	432805513806376960	33402611	The phrase is follow your dreams. Not dream period.	0
485	434370742550282240	283043404	@rusminiarfina iyaa dah lu cari tau dulu sono mager tuh apaan	0
1839	435898591040004096	492731342	Love that feeling where you know you've done something productive with ur day ((((because i am v lazy))))	0
315	436234274723733504	2244705630	@YouTubersRMyLyf oh my god yes!!! ♡.♡	0
37	436799310009597952	112712567	@JakeGinnivan @AbstractCode I don't buy the argument that *any* tool magically does away with branch merge pain	0
733	438486797602275328	247774724	too many festivals with amazing lineups that I can't go to (((bluesfest)))	0
590	440674317982916608	148729805	".  ((( )))💤
 q - ,- p 💤
  (  0 )
 So Sleepy..😓"	0
228	440925204353531904	17817980	Been convincing a colleague to use the most recent version of my code. Because it's amazing how much better it works when you do that.	0
704	442157669940355072	382010074	Yee eluu RT @_ayulstr: @Mariasavaa liat senin aja mar :'(	0
83	445914285546274816	158921667	@AlisonMcs yass homu homu (((o(*ﾟ▽ﾟ*)o)))	0
136	445915096074555392	148729805	@Kingsixo thanks for the follow #muchlove	0
185	446349819440021504	1628218963	Gonna start coming to school with nose plugs bc goddamn some of y'all stank	0
798	447317359783469056	473090419	Tiba2 pengen beli garskin minions :3	0
799	449498510853799936	473090419	@MattLanter ♥ RT @Tanyanesian: #Tanyanesian Artis yang pengen kamu jadiin pacar?	0
171	450644384891944960	158921667	@salmustache heuu padahal pas meet&amp;greet kemaren ada mas cecep ah sayang sekali belum tau apa2 waktu itu orz	0
1071	451208344791834624	1607914464	@torthanapod ((((((y))))))	0
1622	451384480263966720	1051031832	Class bye ✌️	0
97	452812275339251712	1382583571	Chamberlain kuwa mpole...#arsenal	0
172	453135522538336256	158921667	@kaeki_0507 @AlisonMcs KAE MINTA LINK WEEY	0
816	454751115494821888	17817980	@Liger ((((((((Liger)))))))))	0
817	455148214422081600	17817980	@Hypatian It's really amazing to hear between the lines here how happy you are with all the changes. It gives me hope for mine.  (((Kat)))	0
898	455161130780852224	573103966	Really excited to be sitting in a car with people I love the most 💕	0
926	455801184033714176	30341032	"RT @2LINEDMUSIC: @Worl_Orda Presents #TRAUMATIZE 2.0 ""Easter Rave Edition"" This Friday April 18 (((Good Friday))) Inside... http://t.co/Je7…"	0
2583	456866618669162496	30515855	"Happy HAPPY Birthday (((Mr. Jeremiah Cole))) !!! Well ""YOU've"" experienced a taste to ""Teenage Life"" and now you... http://t.co/8ySUbSuTOI"	0
12	458394972538937345	379276149	WE. PROMOTE. EVENTS.  Use us as one of your preferred ticket outlets and we will deliver quality promotional support through our network!	0
13	458621638892728320	379276149	We are conveniently located at Malvern Town Cntr - 31 Tapscott Road, Scarborough, ON serving up the best in #Reggae, #Soca, #Gospel #HipHop	0
2439	459886951638650880	32794483	@chriscolfer Happy Friday, Chris! Wishing you a wonderful weekend. (((((Chris))))) #Hugs4Chris	0
259	461455355068035072	197713160	It's a Blessed morning. Woke up feeling sick but still grateful for the gift of life. All Praises to #TheMostHighYah, regardless.	0
226	461968805497810944	17817980	You know you're in Washington when you buy your apples by breed, and are waiting for your favorites to come out. Cameo &amp; Pink Lady FTW!	0
703	462093091332038656	382010074	@angelinejunny definitely! like seriously... I want a dress. one damn expensive one. but first gotta loose few pounds lol but seriously tho	0
1647	463436870290919424	1090517371	@DestineeKing2 Just did Lmfao	0
14	464702631731294210	118053154	Latihan latihan latihan.	0
613	465248110433009664	42354277	@HenrytheCat2002 EC luv uncle Henry muches! She meowllo back &amp; (((Hugs))) #NCDA	0
2673	465508889513832448	88917872	@evvysusanti sorry coy... Cerebralku meningennya tubeless... Hahahaha	0
1135	467665204801974272	1915259984	@Local_Extreme @espanolns ¿Cómo? ¿Estás en contra del geNOcidio por sustitución demográfica que está sufriendo mi raza, la raza blanca?	0
2327	469177044283043840	66593977	Happy birthday Mr. Overweight couch potatoes. Stay full, even fuller. (((TREAT US !))) (with @solehdjoewant, @estherlita95, and 2 others)	0
1901	469288303397982208	2207779014	@WWEAdamRose  Ive changed my profile pic to me in my #ExoticExpress shirt  and my bunny  whispered #DontBeALemonBeARosebud	0
410	474433005138620416	2510265427	@hammurAbby heyyyy durr abbbbbyyyy~(^^)	0
610	474434914038067200	324876193	#DanielHezartP  #Kepo film kartun favorit ? *50	0
899	474737391593201664	573103966	Good cause no one asked if you have a fuck??? Bye.	0
853	477180960128393216	433493830	@xclusive.R&amp;B STILL GOIN ON((((((((HEAVY))))))####YOURFEELGOODSTATION89.9FM.	0
2640	478668351346966528	79961304	"@clint_dempsey Time 2 use @KingJames 's black mask ;). ""@JedYork: “@DamonBruce: That nose ès broko. And how is that NOT a red card?”"	0
1623	479765234346110976	1051031832	@daika04 @bieberextreme thought so lol	0
1350	479773653375418368	1051031832	oh	0
755	480540186833870848	42354277	Have a great weekend ma furriends @OprahtheWestie @KimVanspauwen @mastertabbywan @mogsbear @TheRealSmokie @SantinaKitteh	0
882	481337014030045184	553345900	@pastanzu ima read half the chapters only and staph fufu  /7/	0
403	481618470547636224	2485954236	Live every week like it's shark week	0
919	482105182117851136	591969534	RIP hair	0
173	482549136126775296	2446265132	Aku spam di twitter aja yah ((((；ﾟДﾟ))))))) Panic attack ketika lo gak ngelakuin trus ngaku2 ngelakuin hal yang jelasnya salah banget--- MAK	0
15	484761771391995906	255910527	@mitchellreports	0
981	484771074245021696	255910527	@laurenglassberg ((((((PROTECTED BY VIPER)))))) Stand Back! http://t.co/VzYvm9OkCc @nycmayorsoffice	0
56	485079540239450112	118053154	@yatzfirman maunya yang ntuh :/	0
1128	486650408480145408	591969534	(((((take advantage of the rain and come late)))))	0
1292	488003501663211520	235650478	i think my nose job was screwed up I should go on botched ((no joke I think they pushed my septum too far)) (((how fun)))	0
2892	488436777737547776	703561189	FUCK	0
55	489344842380500992	118053154	"yang musim kemaren lo hina"" terus vis? #yaampun ""@abdulaviff Benvenuto Allegri, *semoga tidak membawa mimpi buruk* #ForzaJuve"	0
815	489565023765684224	253851989	-__-	0
848	492077607941189632	505201656	@RGC_BPPA lol scouser, congrats.	0
148	492112143110905856	66593977	hahaha	0
295	492407402071736320	21809220	@BBGossip LOL Nobody cares? Poor Veronica! ;-)	0
830	494177428911038468	40975260	😁	0
315	494422657400840192	283043404	RT @shaniaJKT48: ((( RINDU ))) http://t.co/zdRAr4ACBy	0
834	496234697513791488	323730326	@HomeboyzRadio @raquel_soni  (((((((((((((((((((((((((LOUD)))))))))))))))))))))))))))) #CITSWILD #PartyWithAPic  #Class124	0
1127	496246837104214016	591969534	(((hahahah geog-ing, jogging hahahha)))	0
409	497077246658486272	2507835944	@CodeEsq Elizabeth Moss is nice, but that's still 1/4	0
49	497311131615363072	115893153	@bamfibian reading my mind are you	0
521	497363566895566848	382010074	"(((random question))) indomie apa yg menurut lo rasan... — indomie goreng sm kari 
busetdahhh yun it's forbidden... http://t.co/vZ9yEI4sdF"	0
891	497579368076804096	562552797	All I had today was McDonald's fries and Auntie Anne's pretzels. Can you see my struggle?	0
1078	498344697669386240	825812232	louis tomlinson is the most adorable human being to ever exist and i am no even embarrassed to be tweeting this, goodbye.	0
1386	500815925147602880	825812232	"(((((And to not have do be dealing with my  mom &amp; ""step dad"" every day)))))"	0
426	502154409301000192	255910527	@missinfo 411, What will make you the BEST, you will REPORT not MAKE the news! (view convo)   @foxnews	0
1461	502166561982251008	379276149	"@DjWhiteBwoy x @RodeoPromo x @WormDaMc

Brings To You For The 5th Time 

((((#BLACKOUT)))) Friday August 29... http://t.co/q8xs8Rf7cf"	0
230	506098116756799488	180045067	Am I too white to listen to Schoolboy Q? (yes probably)	0
1834	506130949407793152	180045067	@sonamxcvi HAHAHAHAHA LMFAO omg I'm dying, I'm sorry for the trauma 😂	0
424	507610485605158912	253851989	So happy to have red bull!!! All thanks to my fav Red Bull hotties 😘😍 ❤️💛❤️💛 @katrinaa_smith @amberrrcisneros	0
297	507644222267088896	2186612471	I'm not gonna run out of clothes for college because I have a washing machine!	0
126	507682928751804416	215090206	#BackToSchool Edition (((Limited Time Only))) Grey/ Burgundy Jersey Sports Bra and 86 Pen skirt… http://t.co/4RIcfeOHnP	0
950	508010219700752384	6468862	Peter Andre is solely represented by Wanking For Coins (Onshore) Ltd.	0
2256	510632882021621760	352565683	@firstladyNonhle : thanks Nonhle ,i also followed u back	0
355	511496195798466560	1583384238	((((#kaboom))))	0
227	511645574656184320	17817980	@Erik_A_Hanson @Tanglebonitis Dude, I've been dragging myself through the late 70's. I have WAAYYY too much Mott the Hoople to give back. ;)	0
841	517761073911721984	492731342	Private schools are so pointless lmao	0
9	517839262322933760	1051031832	@kasseray @britishaura i would've murdered you and you made me! besides that was when i was young and stupid 💁	0
22	518550734473027586	173167141	Al aire Hard &amp; Heavy por ((((http://t.co/G9LIyIT1gW))))	0
2074	522816075868958720	2598414942	((((((Amo giá questo album comunque))))))	0
880	523483518492372992	553345900	@Meelaffs @lordhamstr YAY TRAINY. //kindergarden days//	0
423	523943854253543424	253851989	@_BrotherThomas_ 🙈🙈🙈 sorry I was a mess. Never drinking again	0
1988	525278293524631552	2446265132	Upset with you. mom, dad	0
665	525508718591344640	35203764	This could be the start of a beautiful relationship. . . Love my imaginary cuddle buddy	0
604	526173720709058560	323730326	eat a dick ! @gelynababyyy Hello BITCHES ?	0
625	528485055039934464	323730326	If you are constantly comparing your life to the lives of others, you'll never be happy.	0
1987	529279425351647232	2446265132	@verdian1212 apa hubungannya ama FS coba?	0
346	529529813766516736	232346439	2 more weeks till I am back in @StillZim arms 😜Life is about to be sweeter.😍	0
417	530733445396561920	252401833	“@_brandonchand: ard how many birthdays are there today” my thoughts exactly lol	0
1943	531671110065340416	231597325	everyone's kd is trash.	0
1340	531674740977856512	1523650836	RT @gerardway: (((((((((vibes))))))))))	0
1362	531999836225433600	195105303	#GITMO((((((((GuaranteedIntenseTotalMuscleOppression)))))))) time family &gt;&gt;&gt; PHYSICAL TRAINING is… http://t.co/J3R96cEOtk	0
1354	533845986322690048	338015965	@carrie_mehome ((((i had to google that first to make sure he was actually dead shh)))) #college	0
254	534469322156945408	195105303	#KNOW #GOD &amp; #BE  #UNSTOPPABLE	0
381	534788763348922368	2423109639	@recordstorehaz IM SO JUST WOAH	0
1152	535067339180744704	1202097918	RT @kingsheri: The new LAW under the ((( #PC #Police ))) all Americans will be jailed for not Applying &amp; Obeying #pJnet ##PC Law http://t.c…	0
2488	535686764246360064	581380772	@DuncanSkuva They will know the hottest MC when Duncan takes all of their awards.. I need a new list.. In fact I'll compile it myself..	0
456	535892062219272192	268593143	"""But the drummer is so sick"" -every Dave Matthews defender"	0
170	537729940112691200	203899834	My gee! Dropping his album next month. ((((Richandfamous)))) cc @praiz8 http://t.co/PR2IUnMp4o	0
425	539588182074212352	25420151	TWD tenso. RIP ser de luz.	0
1783	540394458995388416	1607914464	@cnjonghyn @karisstal @wuypn apa coba z-z-z-z	0
2439	540464735037042688	53640749	bekerja itu juga berkarya...	0
512	541288758918668288	53640749	((( kyuarzet )))	0
1051	541684651023016000	1346485975	"@onepiecekgb0129 

うっう〜ん
まーたしかにそーだけど((( ˙_˙ )))
でもねきいて！後輩からもらったお手紙に書いてあったんだけど、つっちーがみくは真面目でいい子だって褒めてたんだって♡♡♡"	0
450	543789933874671616	2655092398	@WeAllKnowA @Michael5SOS	0
2487	544445928539951104	581380772	I have trust issues, mine are weird, I trust ppl a lot and some of them screw me over, I trust them still, they screw me over again. #Insane	0
2251	545017368385032192	35203764	Gonna get you a nun costume so we can play Residential School...	0
1130	545090752381194240	150923186	@AboveTopSecret A direct response to feminist bullshit	0
494	546331334365708288	37784870	(((BOOM))) http://t.co/vLxh19MFom	0
463	546420651368923136	273648103	@GailSimone the only bright light is the Green Party are getting 6% of the vote while ignored by media. People do want something different.	0
696	546562202195746816	1202097918	"RT @truckerbooman: When Name calling today is used to ((( SHUT Down the TRUTH ))) 
It's when More AMERICANS are listening #COsen #COleg htt…"	0
1798	548063770824560640	1607914464	@cnjonghyn makasih teman ((({{♡}})))	0
840	548978571398877185	492731342	Zzzzzz	0
1739	549389649186398208	2915958060	(((((((((!!!!THE SALE IS ON!!!!))))))))) http://t.co/ABy7JOB1wW	0
572	550817386715021312	31538064	@forrestlisa @CHRIS_Daughtry and I think the Bayou Music Center gave me free tix for that when I saw daughtry trio dec. 14 😁	0
1635	552011882954260480	106615621	@janickamasic @AllTimeLowPotat who does this look like to you?	0
1642	554529400276779008	288127153	((( সব চ্যানেল BTV হয়ে গেছে )))	0
1637	555200796657463296	106615621	so i have to go into the hospital next week and have an operation done	0
648	555375798384078848	338015965	Surprise BEC from heavenly 😍😍😍	0
934	555527533891190784	60692205	I need an endless supply of Lush-y things	0
2595	555806545892868096	59475650	A Sunday Affair &amp; Every Sunday (((Kush&amp;Kittens))) #KUSHANDKITTENS #KushNKittens railroadblues Quality… http://t.co/mzWVSyT5H4	0
464	556355888366497792	273648103	Up early on a Saturday means parkrun, but marshaling this time so need to be there even earlier.	0
147	557034547389669376	1531826738	@shanley He shouldn't be allowed to have that twitter handle.	0
2447	557065203498905600	543605950	"""I thought you were Asian me, but now I realize I'm just Caucasian you."""	0
973	557227240015290368	2690386459	watching lotms to prepare for tomorrow ((((emo vibes))))	0
925	558327368461201408	30341032	"#TBT 2 #YoungOG's

Tonight's Gonna Be A ((((#LITUATION))))

★★★#FRESHFEST★★★

Featuring ★#FABOLOUS★#DEJLOAF★ LIVE... http://t.co/DKsAfpFv67"	0
146	558520096847851520	20140814	@lillias4 oh 😔 I'm sorry to hear that (((hugs)))	0
751	559196888940171264	422357054	I would never get in someone's relationship, I'm out the picture.... I will always like u that's for sure	0
314	559806456900640768	2243867573	Great day @britishlibrary starting to develop education workshops for #MagnaCarta exhibition- thanks @julianpharrison for fascinating talk	0
862	559922766355251200	53640749	marketbiz ngefollow besar besaran	0
1361	559936623282884608	195105303	#GITMO((((((((GuaranteedIntenseTotalMuscleOppression)))))))) time family &gt;&gt;&gt; PHYSICAL TRAINING is… http://t.co/FMOfEfvDAw	0
728	560361285481537536	40975260	I feel so sick 😭	0
1473	560393834618949632	25420151	(((Selfie Selfie Selfie))) http://t.co/LIIr5FaZYg	0
942	561353777748250624	61549318	Definitely thought HBK had a part time job as a stripper ...lmao	0
1642	562013533445951488	107899140	Lha Padang-Jakarta bukannya masih di satu zona waktu ya? Kok bisa jetlag.. ah, pesawatnya transit di Madagaskar kali ya..	0
1837	562281073275854848	18479079	@BLUETHECREEP they dont, i take @NJTRANSIT most days &amp; most days im late because of it. 😥💧	0
514	563324658879983616	294201743	@taylorloughlin We'll go for lunch down by the river. We can really talk it through and being here without you is like	0
211	568014532481847296	169977484	Another day for reality. Do better then yesterday.	0
612	568510208550440960	42354277	@TheRustCat Tight ((((HUGs)))) Rusty! Yes, it's hard to believe. Mom always has a soft spot in her heart fur me &amp; still tears sometimes.	0
408	568815757238231040	2507835944	@mlitteken Fantastic to meet you yesterday! Encouraging to hear that the PSU MSCS has me on the track I want to be on. See you around!	0
762	568828258759909376	433493830	@iamdjlolo215 hahahahaha how you bradda	0
264	569156727809175552	20140814	@chrissieroyal could be! Not a nice thing to go through	0
2316	569516712858554368	412793809	Shawty Ima do things that you ain't ever did. Finna wake up next to you in my crib 'cause Ima make you Hurt	0
212	569888104242397184	169977484	It's really disrespectful when I talk and you talk over me	0
281	570046917150961664	444230646	@abbywatson8 the country would go to shit ((((even more than now))))	0
517	571768540153311232	295207871	hais... i wish i can control when im sleepy and when im not..	0
189	572022475753709568	164405651	I'm still hammered	0
567	572469812842131456	314385760	Rhonda Rousey's quick finish is great for the sport. Danny kanell your dumb. @ESPN_FirstTake	0
47	572949578854506496	115893153	Spotted someone on their first day of working HAHAHA	0
308	574447957002428416	978503490	@meooowhy yeah but ehhhhh i would prefer to do it with the book (((is that weird)))	0
92	575868273499205632	801539671	#LRT Just lifted me so...things aren't as bad as they seem. *Winds body &amp; whispers (((My Neck, My Back)))*	0
190	576543937956966400	84044102	"RT @annesoducro: RT""@farenizzi: Brand new machine tmrw nite LOUD at BlueBeat #Mobay"" (((((((LOUD)))))))"	0
343	576623262492336128	231597325	@leetrinhh I don't know what he's doing.	0
1229	579312117502754816	35203764	That sexy deep voice you get when you get a cold... so you try and sing like that Luther guy but then ((((cough cough))) (((hack spit hack))	0
27	581046984376655873	99453848	((((adzan))))	0
538	581203686967349248	945631952	"((((((BRAND NEW SONG)))))
Now this is the kinda of country I raised on and thought I'd write this song to add to... http://t.co/3dJs3IepVg"	0
2582	581954283777609728	30515855	"LOL at (((Little Miss LaNaysha))), after getting dressed for our ""Family Disney on Ice"" event. She got jokes for... http://t.co/qRpwDja3go"	0
1081	583307288926150656	82971065	I have too many Daniels on Skype.	0
2341	584905140966191104	428606536	“@KerronXBASS: @djdegannes Hahahaha not having it Chris” NOT HAVING IT	0
